p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.85745259724789e-49	0.285521844287235	0.495	0.277	3.23196751921133e-45	0	Slc29a1
1.05095246475812e-48	0.45811969525238	0.656	0.46	1.82865728867913e-44	0	Klf2
1.05523217522781e-48	0.27127245686817	0.816	0.753	1.83610398489639e-44	0	Ap2m1
1.11292568183313e-48	0.348051462005472	0.534	0.314	1.93649068638964e-44	0	Gpr183
1.46684269209159e-48	0.281722635621336	0.458	0.244	2.55230628423937e-44	0	Sgpp1
1.86444742854055e-48	0.352434655839024	0.834	0.674	3.24413852566055e-44	0	Ahnak
3.50945330053251e-48	0.306957354346942	0.62	0.437	6.10644874292658e-44	0	Adap2
5.27709598693054e-48	0.294317411257719	0.566	0.372	9.18214701725914e-44	0	Nr3c1
1.09975119146858e-47	0.280473801037824	0.841	0.662	1.91356707315534e-43	0	Clec4a2
1.63241150144743e-47	0.281076991293971	0.633	0.477	2.84039601251853e-43	0	Dpm3
1.86187237911855e-47	0.253568889715823	0.886	0.803	3.23965793966627e-43	0	Bsg
1.22424052208669e-46	0.254909377792608	0.902	0.808	2.13017850843085e-42	0	Rabac1
1.98652543246367e-46	0.261518144215918	0.467	0.259	3.45655425248679e-42	0	Tbc1d14
2.28118548659274e-46	0.597770292948109	0.964	0.92	3.96926274667137e-42	0	Wfdc17
4.1724132362842e-46	0.272730610495392	0.497	0.289	7.2599990311345e-42	0	Smim10l1
6.83488672480181e-46	0.284018947998578	0.568	0.407	1.18927029011551e-41	0	Myo5a
2.74329042303746e-45	0.26131722812336	0.398	0.201	4.77332533608518e-41	0	Tmem141
7.41484023554889e-45	0.287885252896826	0.546	0.361	1.29018220098551e-40	0	Idh2
3.59773451141168e-44	0.263780408906044	0.589	0.367	6.26005804985632e-40	0	Msr1
6.35148797583434e-44	0.274487811860522	0.683	0.484	1.10515890779518e-39	0	Man1a
8.48481677544304e-44	0.267087623078717	0.671	0.549	1.47635811892709e-39	0	Sumo3
8.51850391750429e-44	0.275328687828959	0.805	0.694	1.48221968164575e-39	0	Tmem106a
1.01260350343324e-43	0.3219946614601	0.967	0.918	1.76193009597383e-39	0	Zfp738
1.01556768092946e-43	0.290923124767107	0.659	0.497	1.76708776481726e-39	0	Adam15
1.01765248892055e-43	0.255383457190565	0.67	0.562	1.77071533072176e-39	0	2610001J05Rik
3.17845401089499e-43	0.263844552294028	0.405	0.207	5.53050997895728e-39	0	Serpinb8
3.92001877026417e-43	0.277306057467847	0.55	0.348	6.82083266025966e-39	0	Klf3
4.66726649610494e-43	0.254676341646159	0.497	0.283	8.1210437032226e-39	0	Nfxl1
7.14865409041618e-43	0.26334679495704	0.488	0.283	1.24386581173242e-38	0	Kif1b
2.31502718900048e-42	0.256159081042082	0.877	0.79	4.02814730886084e-38	0	Tmem59
2.01412816642185e-41	1.56723403007694	0.31	0.2	3.50458300957401e-37	0	Retnla
3.31569048374504e-41	0.287271046732348	0.666	0.515	5.76930144171637e-37	0	AC149090.1
5.27373655823932e-41	0.308755555382185	0.641	0.447	9.17630161133641e-37	0	Rhob
6.68030697685607e-41	0.252065773556095	0.472	0.277	1.16237341397296e-36	0	Snx8
7.01772829417882e-41	0.278170081967443	0.44	0.242	1.22108472318711e-36	0	Klhl9
