"0" "1" "2" "3" "4" "5" "6" "7" "8" "9"
"Limch1" 1.18390804597701 0.936666666666667 0.54863813229572 0.941176470588235 0.617486338797814 0.962732919254658 0.818791946308725 0.328767123287671 1.528 0.0735294117647059
"Herc3" 0.105747126436782 0.04 0.0817120622568093 0.0441176470588235 0.109289617486339 0.0869565217391304 0.221476510067114 0.0753424657534247 0.04 0.0147058823529412
"B4galt6" 0.12183908045977 0.0733333333333333 0.140077821011673 0.0833333333333333 0.147540983606557 0.0496894409937888 0.100671140939597 0.143835616438356 0.168 0.0588235294117647
"Arhgef7" 0.248275862068966 0.126666666666667 0.268482490272374 0.333333333333333 0.218579234972678 0.31055900621118 0.328859060402685 0.171232876712329 0.36 0.382352941176471
"Psd" 0.00459770114942529 0 0.0350194552529183 0 0.0109289617486339 0.0062111801242236 0.0335570469798658 0.0410958904109589 0 0
"Emid1" 0.0482758620689655 0 0.046692607003891 0.0196078431372549 0.0382513661202186 0.0683229813664596 0 0.0616438356164384 0.04 0.308823529411765
"Apex2" 0.0505747126436782 0.02 0.0583657587548638 0.0294117647058823 0.0327868852459016 0.031055900621118 0 0.0684931506849315 0.016 0.0441176470588235
"Zfp273" 0.0160919540229885 0 0.0116731517509728 0.0147058823529412 0.0218579234972678 0.0124223602484472 0 0.0205479452054795 0.008 0
"Dock4" 0.0413793103448276 0.02 0.0350194552529183 0.0147058823529412 0.0382513661202186 0.062111801242236 0.0402684563758389 0.0753424657534247 0.008 0
"Whrn" 0.0252873563218391 0.02 0.0233463035019455 0.00980392156862745 0.0109289617486339 0.0248447204968944 0 0.00684931506849315 0.032 0
"Acaa1a" 0.655172413793103 0.34 0.653696498054475 0.284313725490196 0.633879781420765 0.478260869565217 0.201342281879195 0.493150684931507 0.6 0.558823529411765
"Ydjc" 0.0114942528735632 0 0.00389105058365759 0 0 0.0186335403726708 0 0.0136986301369863 0.016 0
"Setd4" 0.0390804597701149 0.0166666666666667 0.0350194552529183 0.0196078431372549 0.0327868852459016 0.0434782608695652 0.100671140939597 0.0547945205479452 0.032 0.0147058823529412
"9930021J03Rik" 0.131034482758621 0.02 0.11284046692607 0.0686274509803921 0.131147540983607 0.130434782608696 0 0.191780821917808 0.136 0.0147058823529412
"Ubxn4" 0.689655172413793 0.28 0.533073929961089 0.299019607843137 0.672131147540984 0.472049689440994 0.248322147651007 0.547945205479452 0.616 0.573529411764706
"Snap47" 0.124137931034483 0.0533333333333333 0.120622568093385 0.00490196078431373 0.12568306010929 0.0869565217391304 0.0201342281879195 0.0616438356164384 0.04 0.161764705882353
"Sbf1" 0.0551724137931034 0.0366666666666667 0.0428015564202335 0.053921568627451 0.0710382513661202 0.0745341614906832 0.0201342281879195 0.0684931506849315 0.056 0.0735294117647059
"Ckap5" 0.147126436781609 0.0366666666666667 0.151750972762646 0.112745098039216 0.14207650273224 0.111801242236025 0.0201342281879195 0.143835616438356 0.144 0.132352941176471
"Stambp" 0.149425287356322 0.05 0.116731517509728 0.0735294117647059 0.163934426229508 0.093167701863354 0.0402684563758389 0.102739726027397 0.104 0.0294117647058824
"Igf2bp1" 0.00229885057471264 0.00333333333333333 0.00389105058365759 0 0.00546448087431694 0.0124223602484472 0 0.00684931506849315 0.016 0
"Fbxo5" 0.00459770114942529 0 0 0.00490196078431373 0.0218579234972678 0.0186335403726708 0 0 0 0
"Rnf170" 0.0620689655172414 0.0366666666666667 0.0311284046692607 0.0294117647058824 0.0601092896174863 0.0372670807453416 0 0.0547945205479452 0.04 0.0588235294117647
"Usp24" 0.0666666666666667 0.0333333333333333 0.0622568093385214 0.0490196078431372 0.0819672131147541 0.093167701863354 0.0134228187919463 0.0479452054794521 0.04 0
"Mcmbp" 0.337931034482759 0.323333333333333 0.357976653696498 0.333333333333333 0.33879781420765 0.416149068322981 0.335570469798658 0.465753424657534 0.328 0.235294117647059
"Agl" 0.222988505747126 0.11 0.245136186770428 0.284313725490196 0.245901639344262 0.22360248447205 0.375838926174497 0.205479452054795 0.208 0.147058823529412
"Svil" 0.91264367816092 1.09 1.05058365758755 0.887254901960784 1.07103825136612 0.944099378881987 1.24161073825503 0.767123287671233 0.856 0.294117647058823
"Scn2b" 0.0551724137931034 0.03 0.0155642023346304 0.0392156862745098 0.0327868852459016 0.105590062111801 0.0671140939597315 0.0410958904109589 0.048 0.0294117647058824
"Myo5a" 0.0436781609195402 0.00333333333333333 0.0350194552529183 0.0441176470588235 0.0437158469945355 0.111801242236025 0.0402684563758389 0.0616438356164384 0.032 0.0147058823529412
"Sppl3" 0.137931034482759 0.07 0.140077821011673 0.372549019607843 0.163934426229508 0.204968944099379 0.355704697986577 0.171232876712329 0.16 0.117647058823529
"Zfp638" 0.24367816091954 0.0666666666666667 0.206225680933852 0.0784313725490196 0.207650273224044 0.111801242236025 0.0939597315436242 0.226027397260274 0.112 0.0735294117647059
"Dohh" 0.468965517241379 0.243333333333333 0.369649805447471 0.142156862745098 0.426229508196721 0.385093167701863 0.0939597315436242 0.363013698630137 0.336 0.220588235294118
"Ctc1" 0.032183908045977 0.0133333333333333 0.0350194552529183 0.0343137254901961 0.0163934426229508 0.0186335403726708 0.0268456375838926 0.0205479452054795 0.016 0.0147058823529412
"Plcb4" 1.39770114942529 1.15 1.45136186770428 1.34803921568627 1.27868852459016 1.37888198757764 1.18791946308725 0.650684931506849 1.064 0.367647058823529
"Lrig3" 0.0942528735632184 0.0366666666666667 0.108949416342412 0.0343137254901961 0.0710382513661202 0.0745341614906832 0.0805369127516778 0.0616438356164384 0.144 0.0588235294117647
"Trak1" 0.12183908045977 0.04 0.151750972762646 0.0343137254901961 0.229508196721311 0.118012422360248 0.0536912751677852 0.150684931506849 0.128 0.132352941176471
"Smarcc1" 0.206896551724138 0.0766666666666667 0.194552529182879 0.0980392156862745 0.191256830601093 0.167701863354037 0.0604026845637584 0.164383561643836 0.152 0.25
"Endov" 0.0482758620689655 0.0166666666666667 0.0389105058365759 0.0245098039215686 0.0546448087431694 0.0496894409937888 0.0134228187919463 0.0479452054794521 0.024 0
"Ipmk" 0.0758620689655172 0.02 0.0817120622568093 0.00490196078431373 0.0327868852459016 0.031055900621118 0 0.0547945205479452 0.096 0.0882352941176471
"Stxbp4" 0.0298850574712644 0.01 0.0311284046692607 0.0686274509803921 0.0382513661202186 0.0559006211180124 0.0738255033557047 0.0342465753424658 0.048 0.0147058823529412
"Adam33" 0.367816091954023 0.22 0.291828793774319 0.504901960784314 0.316939890710382 0.329192546583851 0.288590604026846 0.143835616438356 0.328 0
