p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.96779166960874e-60	0.453328162463376	0.799	0.584	1.01916023245965e-55	0	Hsp90aa1
3.40404509159076e-59	0.315752396882206	0.449	0.145	4.35411407665375e-55	0	Efhd1
5.20948415463899e-59	0.359288024748404	0.571	0.257	6.66345118219874e-55	0	Tgfb1i1
3.50306249511332e-58	0.280432833903783	0.392	0.11	4.48076723749944e-54	0	1190005I06Rik
8.46080937842763e-57	0.358057485785888	0.839	0.574	1.08222212759468e-52	0	Hcfc1r1
5.18269369949335e-56	0.384340512703719	0.996	0.945	6.62918351102194e-52	0	Actb
3.13588746155116e-55	0.333900510046153	0.518	0.206	4.01111365207009e-51	0	Npnt
3.90383318803116e-55	0.366624727255963	0.842	0.586	4.99339303081066e-51	0	Pls3
4.12522757318668e-55	0.36118227096613	0.711	0.392	5.27657858886309e-51	0	Pdlim1
1.44596334467533e-54	0.346743536079678	0.598	0.295	1.84953171417422e-50	0	Ppp1cb
2.80286781700358e-54	0.332436396111726	0.619	0.294	3.58514822472928e-50	0	Wfdc1
3.97547909381326e-54	0.287617264168955	0.996	0.983	5.08503530889654e-50	0	Ppia
9.35285943800711e-54	0.370307296830301	0.756	0.477	1.19632425071549e-49	0	Cnn3
9.37177984260943e-54	0.34308975577281	0.528	0.221	1.19874435966817e-49	0	Cbr2
1.38511655228079e-53	0.529722966295681	0.49	0.21	1.77170258202236e-49	0	Hspa1a
1.67833977671034e-50	0.313042301878121	0.917	0.676	2.1467644083902e-46	0	Ltbp1
3.03850462951994e-49	0.316839728780297	0.548	0.257	3.88655127161896e-45	0	Cfl2
4.24428267112471e-48	0.292759757904657	0.958	0.895	5.42886196463562e-44	0	Chchd2
5.41058977997338e-48	0.300969598069065	0.488	0.209	6.92068538756395e-44	0	Ccdc107
7.37334190775715e-48	0.295177431198322	0.644	0.334	9.43124163421217e-44	0	Ogn
9.32810216371332e-48	0.414077006100961	0.519	0.243	1.19315754776057e-43	0	Ckb
1.78540013940782e-46	0.505720051716688	0.36	0.112	2.28370531831655e-42	0	Tnnt2
3.97826631284083e-46	0.336922006682283	0.837	0.563	5.08860044075471e-42	0	Gm9973
1.14582091885318e-45	0.294550969155428	0.499	0.219	1.4656195373051e-41	0	Rcan2
3.54687391584988e-44	0.320415776768838	0.831	0.576	4.53680642576358e-40	0	Rarres2
3.58521487744449e-42	0.284171093504339	0.557	0.286	4.58584834973925e-38	0	Pdcl3
6.33964212809882e-42	0.263918965540923	0.353	0.12	8.1090362460512e-38	0	Plcb4
7.17962733002959e-41	0.250299834167006	0.389	0.145	9.18346131784085e-37	0	Rasl12
1.00251895538121e-40	0.304168646036542	0.697	0.417	1.28232199582811e-36	0	Col18a1
1.96276778212674e-40	0.275797025128057	0.92	0.714	2.51057627011831e-36	0	Rbp1
1.75638977401014e-39	0.312440117935291	0.767	0.533	2.24659815993637e-35	0	Itgb1
6.71565939831238e-38	0.293422255302253	0.524	0.257	8.58999993638137e-34	0	Mfap5
6.87451386619861e-38	0.275215403785172	0.596	0.325	8.79319068625465e-34	0	Ndrg2
4.46223636894498e-36	0.278507159263462	0.607	0.346	5.70764653951752e-32	0	Fermt2
4.67056208417501e-36	0.27599195067935	0.652	0.408	5.97411596186825e-32	0	Rsu1
6.9020749871945e-36	0.306293040385375	0.917	0.766	8.82844411612048e-32	0	Cryab
1.07527643528612e-35	0.268533258063846	0.83	0.654	1.37538608837448e-31	0	Ndufa4
4.98425744817051e-35	0.273601151362655	0.607	0.35	6.37536370195489e-31	0	Kif5b
7.67374718973017e-35	0.275382800849086	0.46	0.216	9.81549003038386e-31	0	Stbd1
