"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16"
"Limch1" 0.108170310701956 0.0198019801980198 0.0344311377245509 0 0.00293255131964809 0.00694444444444444 0 0.260869565217391 0 0.0280898876404494 0 0 0.794871794871795 0 0.0434782608695652 0.482758620689655 0
"Herc3" 0.0310701956271577 0.0198019801980198 0.00598802395209581 0.030812324929972 0.0351906158357771 0.00347222222222222 0 0.016304347826087 0.100558659217877 0.0168539325842697 0.0510948905109489 0.00854700854700855 0.0427350427350427 0 0.0434782608695652 0.0344827586206897 0
"B4galt6" 0.0437284234752589 0.0353606789250354 0.0134730538922156 0.313725490196078 0.442815249266862 0.0277777777777778 0.0578512396694215 0.0543478260869565 0.00558659217877095 0.00561797752808989 0.218978102189781 0 0.0598290598290598 0.0133333333333333 0.0652173913043478 0.0689655172413793 0
"Arhgef7" 0.094361334867664 0.0905233380480905 0.0134730538922156 0.061624649859944 0.0997067448680352 0.0104166666666667 0.00826446280991735 0.0815217391304348 0.139664804469274 0.0224719101123595 0.0948905109489051 0.0170940170940171 0.170940170940171 0.106666666666667 0.108695652173913 0.206896551724138 0
"Psd" 0.00575373993095512 0.00424328147100424 0 0.00840336134453781 0.00879765395894428 0 0 0.00543478260869565 0 0.0168539325842697 0 0 0.00854700854700855 0 0 0.0344827586206897 0
"Emid1" 0.0299194476409666 0 0.0029940119760479 0.00280112044817927 0.00293255131964809 0 0 0 0.0223463687150838 0.0112359550561798 0 0 0.0256410256410256 0 0 0 0
"Apex2" 0.0517836593785961 0.0396039603960396 0.0134730538922156 0.0224089635854342 0.0351906158357771 0.0104166666666667 0 0.016304347826087 0.0279329608938547 0.0280898876404494 0.0218978102189781 0 0.0598290598290598 0 0.0217391304347826 0.0344827586206897 0
"Zfp273" 0.0103567318757192 0.0113154172560113 0.00149700598802395 0.0140056022408964 0.00879765395894428 0 0 0.0108695652173913 0.0167597765363128 0.0168539325842697 0.0072992700729927 0 0 0 0 0 0
"Dock4" 0.0989643268124281 0.127298444130127 0.0119760479041916 0.187675070028011 0.181818181818182 0.00347222222222222 0.0247933884297521 0.228260869565217 0.00558659217877095 0.050561797752809 0.204379562043796 0 0.0170940170940171 0.213333333333333 0.0652173913043478 0.310344827586207 0
"Whrn" 0.0149597238204833 0.00848656294200849 0.00449101796407186 0.0112044817927171 0.00586510263929619 0 0 0 0.0167597765363128 0 0.0072992700729927 0 0.00854700854700855 0 0.0217391304347826 0 0
"Acaa1a" 0.276179516685846 0.2998585572843 0.104790419161677 0.196078431372549 0.173020527859238 0.111111111111111 0.140495867768595 0.282608695652174 0.106145251396648 0.0449438202247191 0.343065693430657 0.170940170940171 0.153846153846154 0.2 0.456521739130435 0.206896551724138 0
