p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.09878697705982e-247	0.300528020124906	0.537	0.278	5.43217357078587e-243	1	Serinc1
9.64505749921132e-246	0.257827672892099	0.457	0.189	1.69077857961175e-241	1	Rock2
3.70121453471858e-244	0.292010783252952	0.758	0.495	6.48822907936168e-240	1	Mrfap1
1.22049050500131e-241	0.278525701588528	0.587	0.304	2.13951985526729e-237	1	Hmgn1
2.36139590447544e-239	0.267679600924013	0.435	0.175	4.13952702054545e-235	1	Kmt2e
3.59472955502642e-238	0.265480966708809	0.446	0.184	6.30156090996131e-234	1	Tubb2a
4.52883312223222e-238	0.298780052366764	0.698	0.43	7.93904446327308e-234	1	Krtcap2
3.69675890137495e-236	0.440887111083689	0.643	0.483	6.48041835411029e-232	1	Nr4a1
1.43026178117698e-234	0.346768380533431	0.747	0.52	2.50724890240325e-230	1	Mbnl1
7.49728298845787e-234	0.267753106202835	0.441	0.182	1.31427370787666e-229	1	Atrx
1.03049933561037e-232	0.272612453039149	0.4	0.154	1.80646533532498e-228	1	Bclaf1
2.66725890631757e-226	0.289929930109236	0.791	0.559	4.6757048627747e-222	1	Tubb5
3.355637030532e-226	0.284933761741505	0.667	0.401	5.8824317145226e-222	1	Swi5
5.25145263757458e-226	0.324940474052091	0.629	0.407	9.20579647366825e-222	1	Celf2
1.00039079419116e-224	0.302235372323447	0.732	0.484	1.7536850622171e-220	1	Myl12a
1.69616402912596e-224	0.29007375481118	0.725	0.482	2.9733755430578e-220	1	Cnbp
4.32801347975703e-222	0.290680953373453	0.625	0.364	7.58700763001407e-218	1	Aldoa.1
1.39534074572827e-221	0.297330746446234	0.843	0.611	2.44603232726166e-217	1	S100a10
6.69082521904365e-221	0.29912371044756	0.369	0.139	1.17290166089835e-216	1	Clec2d
9.05967053119217e-217	0.28213646316197	0.964	0.883	1.58816024411799e-212	1	Jund
1.66073332953571e-214	0.371898664840229	0.948	0.902	2.91126552667611e-210	1	Junb
1.18423954861055e-207	0.268570442055335	0.602	0.348	2.07597192871429e-203	1	Sfr1
