p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.51706280989443e-156	0.295780116530393	0.418	0.124	1.14244111057449e-151	2	Foxp2
1.00459502874991e-155	0.311093294001224	0.508	0.184	1.76105508539859e-151	2	Pttg1ip
2.07876266358009e-155	0.262322711882237	0.351	0.085	3.64407094925589e-151	2	Auts2
2.67467429140531e-155	0.306991783196483	0.531	0.201	4.68870403283351e-151	2	Fgfr1
3.34936513211436e-155	0.257187348334382	0.213	0.025	5.87143707659647e-151	2	Sox9
1.35176766177764e-154	0.455898574970804	0.878	0.609	2.36964871109621e-150	2	Serpinf1
2.14460199348076e-154	0.252909464742791	0.374	0.099	3.75948729457176e-150	2	Dag1
4.39542509394877e-154	0.313495572934471	0.503	0.182	7.7051801896922e-150	2	Ddah2
5.37430714912891e-154	0.287781115379496	0.51	0.191	9.42116043242299e-150	2	Fkbp7
2.37921529505568e-153	0.26933097197028	0.341	0.081	4.1707644122326e-149	2	Osmr
3.67300640154795e-153	0.295216777473434	0.366	0.095	6.43878022191356e-149	2	Emilin1
4.39892371940903e-153	0.413583727426038	0.864	0.575	7.71131328012403e-149	2	Col1a1
4.88975204217188e-153	0.316536633490028	0.539	0.209	8.57173532992731e-149	2	Tspan3
7.1417736193166e-153	0.275914757972238	0.394	0.111	1.2519529154662e-148	2	Cbx5
2.39147525688242e-152	0.429344724590382	0.897	0.691	4.19225612531488e-148	2	Cd81
5.25445680765531e-152	0.289355505696968	0.413	0.124	9.21106278381975e-148	2	Olfml2b
1.10482583845459e-151	0.299251033818453	0.446	0.148	1.9367596948109e-147	2	Ctsk
5.54616055603275e-151	0.286569781523615	0.378	0.104	9.72241945472541e-147	2	Cdc42ep3
8.5418345023906e-151	0.266813901207423	0.42	0.13	1.49738358826907e-146	2	Arhgef12
1.38080223378004e-150	0.412939987266253	0.733	0.461	2.42054631581641e-146	2	Tcf4
3.74065233641087e-150	0.26838930513906	0.349	0.089	6.55736354572825e-146	2	Plod2
4.70528630244837e-150	0.27069591723683	0.526	0.207	8.24836688819198e-146	2	Fkbp9
1.05821888248874e-149	0.250962942471637	0.365	0.1	1.85505770100276e-145	2	Kazald1
1.21023978296327e-149	0.495049797170479	0.77	0.446	2.12155033953461e-145	2	Fmo2
1.772716279922e-149	0.26991016466572	0.359	0.093	3.10757163870326e-145	2	Ephx1
1.52855071021702e-148	0.270926036214961	0.401	0.118	2.67954939501043e-144	2	Luzp1
2.37366160762567e-148	0.440211296508862	0.828	0.604	4.1610287981678e-144	2	Snhg11
2.78112197662586e-148	0.27506564359607	0.399	0.117	4.87530682502514e-144	2	Ltbp3
2.93127090779052e-148	0.37110918393506	0.422	0.132	5.13851790135678e-144	2	Aspn
2.07295096240164e-147	0.277436973630672	0.403	0.122	3.63388303709007e-143	2	C1qtnf2
3.264157727074e-147	0.313896841728524	0.393	0.115	5.72206849556073e-143	2	Adcy7
3.49105052246395e-147	0.412726133766058	0.444	0.147	6.1198115658793e-143	2	Fbln7
5.76126355000905e-147	0.578725677978695	0.877	0.716	1.00994950031659e-142	2	Jun
2.49713286347615e-146	0.268862501409162	0.529	0.209	4.37747390967369e-142	2	Mfge8
4.04762208773666e-146	0.276629477084361	0.368	0.1	7.09548151980236e-142	2	1700025G04Rik
4.27920679960333e-146	0.25400184239915	0.376	0.106	7.50144951970463e-142	2	Cnn3
3.18498052841062e-145	0.267843478352494	0.33	0.08	5.58327086630381e-141	2	Prrx2
1.08078188476259e-144	0.267345265271852	0.399	0.121	1.89461064398882e-140	2	Fam198b
7.19646388498876e-144	0.265965812291451	0.423	0.138	1.26154011903853e-139	2	Gstt1
1.92304652548348e-143	0.40307219343587	0.853	0.583	3.37110055917254e-139	2	Laptm4a
1.13420390605176e-142	0.328683915190928	0.547	0.226	1.98825944730873e-138	2	Cryab
1.92542409529198e-142	0.352032027266739	0.512	0.202	3.37526843904685e-138	2	Tubb4b
3.60486592706936e-141	0.440171881428954	0.502	0.197	6.31932997015259e-137	2	Fgl2
3.64289294007459e-141	0.272042813815853	0.48	0.178	6.38599132395075e-137	2	Rras
6.03781677075809e-141	0.284009823166254	0.36	0.099	1.05842927991389e-136	2	C1qtnf7
6.19436545172119e-141	0.376141809885093	0.774	0.485	1.08587226368672e-136	2	Slc25a4
6.6125667385166e-141	0.256363035830691	0.423	0.142	1.15918294926196e-136	2	Ablim1
7.15651785213571e-141	0.2954555857527	0.467	0.167	1.25453757947939e-136	2	Add3
1.01064542112021e-140	0.278092620262227	0.455	0.16	1.77166142322374e-136	2	P4ha1
2.60904135144505e-140	0.26911247304452	0.411	0.13	4.57364948908317e-136	2	Cd151
1.41537981181479e-139	0.262359812934377	0.299	0.067	2.48116081011133e-135	2	Scara3
2.85183491715344e-139	0.27579305311577	0.453	0.158	4.99926660976997e-135	2	Tm9sf2
6.05187837771804e-139	0.446523891303113	0.895	0.677	1.06089427961397e-134	2	Hsp90b1
1.03891395951107e-137	0.614041966510385	0.843	0.763	1.82121617102291e-133	2	Mt1
1.13095254286194e-137	0.267763130347715	0.275	0.056	1.98255980763698e-133	2	Fez1
2.63081072289668e-137	0.26174913985199	0.438	0.15	4.61181119723788e-133	2	Yipf4
3.81483212762135e-137	0.438788513434264	0.61	0.299	6.68740071972023e-133	2	Cd34
7.00942827069796e-137	0.377806375562954	0.64	0.317	1.22875277585335e-132	2	Pdlim2
8.94176683236749e-137	0.398522678074986	0.497	0.203	1.56749172571402e-132	2	Nrp1
5.68932151859837e-136	0.394515576802983	0.753	0.504	9.97338062210294e-132	2	Ifi27
9.43351439769356e-136	0.380255716635356	0.653	0.36	1.65369507391568e-131	2	Rhoc
6.13302186070833e-135	0.293502462163372	0.518	0.209	1.07511873218217e-130	2	Tram1
1.4696805335902e-134	0.250558617785832	0.384	0.118	2.57634997538362e-130	2	Wls
1.02562849173989e-132	0.261282653285192	0.494	0.196	1.79792674602003e-128	2	Il6st
1.74262350922091e-132	0.283521300159201	0.506	0.207	3.05481901166426e-128	2	Nbl1
