"0" "1" "2" "3" "4"
"Limch1" 1.1125 0.808333333333333 1.08196721311475 0.769230769230769 0.027027027027027
"Herc3" 0.06875 0.075 0.0327868852459016 0.0961538461538462 0
"B4galt6" 0.14375 0.0833333333333333 0.131147540983607 0.115384615384615 0.108108108108108
"Arhgef7" 0.1875 0.125 0.163934426229508 0.0576923076923077 0.0540540540540541
"Emid1" 0.025 0.00833333333333333 0.0163934426229508 0.0192307692307692 0.027027027027027
"Apex2" 0.01875 0.0416666666666667 0.0163934426229508 0.0576923076923077 0.0810810810810811
"Dock4" 0.04375 0 0.0327868852459016 0 0.027027027027027
"Whrn" 0.01875 0 0.0163934426229508 0.0384615384615385 0
"Acaa1a" 0.55 0.333333333333333 0.475409836065574 0.5 0.621621621621621
"Ydjc" 0.00625 0.0166666666666667 0 0.0384615384615385 0.027027027027027
"Setd4" 0.0125 0.0166666666666667 0 0.0192307692307692 0.0540540540540541
"9930021J03Rik" 0.09375 0.0833333333333333 0.0327868852459016 0.0576923076923077 0.0810810810810811
"Ubxn4" 0.66875 0.675 0.672131147540984 0.596153846153846 0.513513513513513
"Snap47" 0.10625 0.125 0.114754098360656 0.153846153846154 0.135135135135135
"Sbf1" 0.0375 0.05 0.0491803278688525 0.0384615384615385 0.162162162162162
"Ckap5" 0.0875 0.0416666666666667 0.147540983606557 0.0576923076923077 0.0810810810810811
"Stambp" 0.10625 0.0583333333333333 0.163934426229508 0.0769230769230769 0.027027027027027
"Rnf170" 0.0625 0.0666666666666667 0.0327868852459016 0.0769230769230769 0.027027027027027
"Usp24" 0.06875 0.0666666666666667 0.0327868852459016 0.0576923076923077 0
"Mcmbp" 0.20625 0.208333333333333 0.60655737704918 0.326923076923077 0.243243243243243
"Agl" 0.1125 0.125 0.229508196721311 0.192307692307692 0.0810810810810811
"Svil" 0.88125 0.8 1.01639344262295 0.653846153846154 0.378378378378378
"Scn2b" 0.03125 0.0166666666666667 0.0163934426229508 0.153846153846154 0.0810810810810811
"Myo5a" 0.0375 0.0333333333333333 0.0327868852459016 0.0769230769230769 0.027027027027027
"Sppl3" 0.1125 0.0583333333333333 0.114754098360656 0.0384615384615385 0.027027027027027
"Zfp638" 0.06875 0.0666666666666667 0.245901639344262 0.0769230769230769 0.135135135135135
"Dohh" 0.40625 0.391666666666667 0.475409836065574 0.346153846153846 0.135135135135135
"Ctc1" 0.03125 0.025 0.0655737704918033 0.0192307692307692 0.0810810810810811
"Plcb4" 0.975 0.85 0.967213114754098 0.423076923076923 0.324324324324324
"Lrig3" 0.05625 0.0833333333333333 0.0983606557377049 0.173076923076923 0.027027027027027
"Trak1" 0.1375 0.15 0.131147540983607 0.0769230769230769 0.0810810810810811
"Smarcc1" 0.11875 0.133333333333333 0.0491803278688525 0.115384615384615 0.0810810810810811
"Endov" 0.0375 0.0333333333333333 0.0819672131147541 0 0.0810810810810811
"Ipmk" 0.03125 0.0416666666666667 0.0491803278688525 0.0192307692307692 0.0810810810810811
"Stxbp4" 0.0375 0.0333333333333333 0.0163934426229508 0.0384615384615385 0.0810810810810811
"Adam33" 0.39375 0.216666666666667 0.19672131147541 0.153846153846154 0.189189189189189
"Ncoa2" 0.05 0.1 0.0655737704918033 0.0769230769230769 0.108108108108108
"Ccdc137" 0.0625 0.0833333333333333 0.0819672131147541 0.0769230769230769 0.027027027027027
"Mapre3" 0.3 0.2 0.213114754098361 0.153846153846154 0.135135135135135
"Frmd4a" 0.075 0.0666666666666667 0.0983606557377049 0.0961538461538462 0.216216216216216
"Atp6v0a2" 0.06875 0.0583333333333333 0.147540983606557 0.0769230769230769 0.0810810810810811
"Dlg1" 0.1875 0.0666666666666667 0.131147540983607 0.0961538461538461 0.27027027027027
"Txlna" 0.09375 0.0916666666666667 0.0819672131147541 0.173076923076923 0.162162162162162
"Inpp4a" 0.80625 0.625 0.983606557377049 0.961538461538461 0.324324324324324
"Ralgps1" 0.01875 0 0.0163934426229508 0.0192307692307692 0
"Ccdc114" 0.075 0.05 0.0819672131147541 0 0.0810810810810811
"Eml2" 0.39375 0.216666666666667 0.40983606557377 0.384615384615385 0.108108108108108
"Pfdn6" 0.61875 0.708333333333333 0.524590163934426 0.769230769230769 0.378378378378378
"Nek1" 0.05 0.025 0.0819672131147541 0.0384615384615385 0
"Armc2" 0.075 0.0666666666666667 0.0491803278688525 0.0384615384615385 0
"Ccar2" 0.04375 0.025 0.0327868852459016 0.0576923076923077 0
"Pex12" 0.025 0.025 0 0.0961538461538462 0.027027027027027
"Phf3" 0.16875 0.108333333333333 0.213114754098361 0.115384615384615 0.162162162162162
"Sox8" 0.0375 0.025 0.0655737704918033 0.0576923076923077 0
"Pcbp2" 0.3375 0.258333333333333 0.426229508196721 0.134615384615385 0.297297297297297
"Golph3" 0.25 0.316666666666667 0.377049180327869 0.211538461538462 0.378378378378378
"Tnnt2" 0.2625 0.133333333333333 0.131147540983607 0.115384615384615 0.243243243243243
"Ankrd13d" 0.025 0.0166666666666667 0.0163934426229508 0.0192307692307692 0
"Luc7l3" 0.38125 0.341666666666667 0.672131147540984 0.480769230769231 0.324324324324324
"Ypel3" 1.30625 1.2 1.19672131147541 1.57692307692308 1.86486486486486
"Mapk8" 0.075 0.075 0.163934426229508 0.0576923076923077 0.108108108108108
"Amn1" 0.14375 0.116666666666667 0.180327868852459 0.0961538461538462 0.0810810810810811
"Prss23" 1.0625 1.3 1.44262295081967 0.403846153846154 1.18918918918919
"Ccdc22" 0.03125 0 0.0163934426229508 0.0192307692307692 0
"Pgap3" 0.025 0 0.0163934426229508 0.0192307692307692 0
"Mcm3ap" 0.05625 0.0166666666666667 0.0655737704918033 0.0576923076923077 0
"Znhit6" 0.10625 0.0416666666666667 0.0983606557377049 0.0961538461538462 0.108108108108108
"Ndufb5" 1.58125 1.64166666666667 1.37704918032787 1.55769230769231 1.27027027027027
"Ramp2" 0.01875 0.0833333333333333 0 0.0961538461538461 1.43243243243243
"Camk2g" 0.6125 0.325 0.622950819672131 0.307692307692308 0.0810810810810811
"Gm33543" 0.03125 0.00833333333333333 0.0327868852459016 0.0192307692307692 0
"Ccdc50" 0.29375 0.233333333333333 0.39344262295082 0.288461538461538 0.216216216216216
"Rad17" 0.08125 0.0666666666666667 0.114754098360656 0.115384615384615 0.027027027027027
"Rps27a" 6.35625 7.31666666666667 6.21311475409836 7.03846153846154 6.02702702702703
"Sardh" 0.04375 0.0583333333333333 0.0163934426229508 0.134615384615385 0
"Lss" 0.0125 0.00833333333333333 0.0655737704918033 0.0192307692307692 0
"Hibadh" 0.58125 0.2 0.327868852459016 0.461538461538462 0.324324324324324
"Ssbp2" 0.55625 0.408333333333333 0.524590163934426 0.480769230769231 0.675675675675676
"2410002F23Rik" 0.075 0.0583333333333333 0.0819672131147541 0.0961538461538462 0.027027027027027
"Josd2" 1.025 0.825 1.01639344262295 0.423076923076923 0.297297297297297
"Tcf3" 0.10625 0.0416666666666667 0.0491803278688525 0.0961538461538461 0.162162162162162
"Atf2" 0.14375 0.141666666666667 0.147540983606557 0.211538461538462 0.189189189189189
"Togaram1" 0.04375 0.025 0.0819672131147541 0.0384615384615385 0.027027027027027
"Hjurp" 0.09375 0.0333333333333333 0.0491803278688525 0.0192307692307692 0.054054054054054
"Ikzf2" 0.1 0.0166666666666667 0.0491803278688525 0.0384615384615385 0.027027027027027
"Ssr2" 0.8875 1.175 1.01639344262295 1.57692307692308 1.48648648648649
"Ctdspl2" 0.075 0.0833333333333333 0.0819672131147541 0.115384615384615 0.189189189189189
"Atp13a2" 0.0375 0.0166666666666667 0.0655737704918033 0.0384615384615385 0.027027027027027
"Nmi" 0.16875 0.183333333333333 0.114754098360656 0.269230769230769 0.162162162162162
"Nmnat2" 0.0125 0.0166666666666667 0.0163934426229508 0 0
