p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.22300476649023e-19	0.3217597254592	0.763	0.313	2.65293388832944e-15	0	C3
7.09582517421407e-18	0.313005677920616	0.845	0.392	8.46815776290707e-14	0	Crip2
4.15481357237923e-12	0.255161633824579	0.835	0.464	4.95835451727737e-08	0	Tuba1a
5.2790515893477e-12	0.355072001926315	0.825	0.474	6.30002016672754e-08	0	Pola2
2.00542749197468e-09	0.276423050584419	0.814	0.474	2.39327716892258e-05	0	Mtch1
9.1050530401514e-09	0.293482016592397	0.835	0.511	0.000108659702981167	0	Pebp1
2.31955583123606e-08	0.517504302585296	0.072	0.206	0.000276815792899711	0	Gsto1
2.45054300457786e-08	0.25469751385909	0.845	0.546	0.000292447802166322	0	Atpif1
2.56362347285397e-08	0.563698426087599	0.866	0.561	0.000305942825250392	0	Dbi
5.68476625663808e-08	0.32561329477519	0.134	0.243	0.000678420005067188	0	Zfp131
6.18280615938306e-08	0.253997603263534	0.753	0.439	0.000737856087060775	0	Uqcc2
8.2333242179168e-08	0.270454727767435	0.722	0.414	0.000982564912166191	0	Rhoc
9.1305883834757e-08	0.342420413091572	0.021	0.136	0.00108964441768399	0	Rgs1
1.72802519358564e-07	0.344380601626882	0.804	0.504	0.00206222526602511	0	Hsbp1
2.27361351804574e-07	0.296792856239698	0.773	0.469	0.00271333037243579	0	Ywhae
2.48176444202927e-07	0.40004588955796	0.907	0.65	0.00296173768511773	0	Son
3.94397214677003e-07	0.294360751271086	0.856	0.576	0.00470673635995536	0	Hnrnpk
3.99456685642018e-07	0.270124609157537	0.763	0.464	0.00476711608645185	0	Ran
4.88123891427451e-07	0.261074773637619	0.773	0.479	0.0058252705202952	0	Itm2c
6.63772315020881e-07	0.296490677528911	0.907	0.655	0.0079214588074592	0	Uqcrb
1.69158121802635e-06	0.251639092938035	0.134	0.191	0.0201873302559265	0	Hes1
2.68144605653087e-06	0.279733689024497	0.68	0.4	0.0320003772386394	0	Hsp90aa1
3.59698195612796e-06	0.320994348918896	0.701	0.424	0.0429263826644311	0	Rheb
6.48421154515251e-06	0.314424366857385	0.773	0.511	0.0773825805798501	0	1810037I17Rik
6.7623316649205e-06	0.264567992291242	0.794	0.531	0.0807016660891613	0	Ndufv3
9.19186430491277e-06	0.267241288553283	0.134	0.191	0.109695708614829	0	Gng11
1.82535922816194e-05	0.311528554893452	0.928	0.727	0.217838370288846	0	Ndufa4
2.27538303870731e-05	0.274794046378978	0.691	0.432	0.27154421183933	0	Ndufb2
2.86138990588343e-05	0.302936586104161	0.68	0.432	0.341478271368128	0	mt-Nd6
4.06850445224065e-05	0.342774402357594	0.938	0.861	0.485535321330399	0	Dynll1
0.00022303837655263	0.263603219990978	0.619	0.39	1	0	Psmb2
0.000383801143889431	0.307214750212861	0.938	0.975	1	0	mt-Nd1
0.000465481003361759	0.301604754723181	0.959	0.933	1	0	Chchd2
0.00159931636087315	0.265373214397834	0.567	0.367	1	0	Prdx6
0.00163914578190869	0.270888395085944	0.124	0.139	1	0	Lars2
0.00190825113329171	0.307407330278618	0.928	0.787	1	0	Ubc
0.00243632116193577	0.251226071013957	0.928	0.809	1	0	Hint1
0.00630163784999534	1.13741345450006	0.134	0.139	1	0	Fabp4
1.47216337662901e-05	0.331818153542604	0.466	0.24	0.175687977366906	1	Smim11
1.84082252838499e-05	0.264076316339764	0.25	0.075	0.219683760537465	1	Kazald1
1.90305792695196e-05	0.269441677560052	0.227	0.063	0.227110933002448	1	Mfap2
1.94448811881077e-05	0.256508607767335	0.443	0.206	0.232055212098878	1	Cpe
1.94815606242188e-05	0.333731658867837	0.33	0.165	0.232492944489427	1	Pttg1
1.96665966931957e-05	0.288855313311893	0.33	0.126	0.234701164936598	1	Creld2
2.0193692347818e-05	0.355629185851283	0.42	0.182	0.24099152447886	1	Nfia
2.06501426961681e-05	0.318943283188177	0.955	0.859	0.24643880293607	1	mt-Nd2
2.09647452966149e-05	0.316340379360075	0.341	0.133	0.250193270369803	1	Cnn3
2.3846330973966e-05	0.2639789311325	0.341	0.131	0.284582113843311	1	Tceal8
2.47992307228026e-05	0.302574183595927	0.364	0.15	0.295954019445927	1	Nfix
2.52649610986212e-05	0.272192529669889	0.33	0.146	0.301512045750945	1	Slc35b1
2.78668339177802e-05	0.285773340399636	0.534	0.284	0.332562795974788	1	Arf4
2.86344158949556e-05	0.278577730553653	0.341	0.131	0.3417231192904	1	Gaa
3.07400437078202e-05	0.267393068965758	0.295	0.1	0.366851681609126	1	Camk2n1
3.93117787476676e-05	0.308215063486013	0.375	0.172	0.469146767574665	1	Etfa
4.36653291725153e-05	0.289958780965853	0.864	0.774	0.521102038344797	1	Ndufa13
5.39462815758249e-05	0.285225545261314	0.17	0.056	0.643794924325894	1	Timp3
5.49649453475179e-05	0.309499951948887	0.443	0.211	0.655951657777279	1	Tcf4
5.70519645988849e-05	0.307452868327162	0.795	0.607	0.680858145523092	1	Dynlrb1
6.94057935830364e-05	0.317591813458113	0.364	0.17	0.828288740619956	1	Itgb5
7.73410626955367e-05	0.32704267071704	0.261	0.083	0.922988242208535	1	Efemp1
7.79259861616597e-05	0.479560422274379	0.557	0.456	0.929968718853246	1	Tgfbi
8.76277565041188e-05	0.251783658038682	0.33	0.129	1	1	Fgfr1
8.83213845914643e-05	0.334624661037913	0.852	0.701	1	1	Dad1
9.24070973750621e-05	0.290923566375952	0.159	0.063	1	1	Lrp4
9.97004672050684e-05	0.276534828923852	0.33	0.143	1	1	Yif1a
0.00010274773228101	0.395625970789229	0.523	0.306	1	1	Mgst1
0.000114857271129961	0.272338328072613	0.58	0.449	1	1	Dpm3
0.000126852183901906	0.255832246564682	0.273	0.102	1	1	Tbrg1
0.000130321812006691	0.401111122782094	0.33	0.138	1	1	Gadd45g
0.000140109898344146	0.320308638535696	0.33	0.15	1	1	Glul
0.000150805024338576	0.285485815075823	0.193	0.049	1	1	Osr1
0.000166650326588004	0.278397306556772	0.273	0.107	1	1	Tent5a
0.000195863423748417	0.266728837788895	0.239	0.075	1	1	Speer6-ps1
0.00021114118824307	0.276983201221956	0.432	0.325	1	1	Ssr2
0.000219670385910036	0.284398883854533	0.909	0.881	1	1	Elob
0.000284208035166848	0.322246037504993	0.545	0.318	1	1	Ecm1
0.000357146943804133	0.26476274033728	0.943	0.864	1	1	Myl12a
0.000420788314068656	0.270543491197024	0.852	0.667	1	1	Cd9
0.000429100716688692	0.274979915978816	0.466	0.267	1	1	Tm2d2
0.000447370497786195	0.325235711364731	0.284	0.119	1	1	Cp
0.000539817920006121	0.255220313858182	0.455	0.34	1	1	Ndufs7
0.000957749288537615	0.266728837788895	0.33	0.165	1	1	Scarb2
0.00100076817379195	0.295978337037576	0.432	0.284	1	1	H2afv
0.00107935195950451	0.291811271716093	0.341	0.16	1	1	Mmp2
0.00115768229778884	0.253918370382398	0.364	0.201	1	1	Ddrgk1
0.00173956249083296	0.256332121606333	0.295	0.158	1	1	4930523C07Rik
0.00216497849850562	0.252896170786713	0.75	0.633	1	1	Tuba1b
0.00706845145881355	0.681742940294461	0.727	0.607	1	1	Saa3
2.65597070028743e-05	0.296995257082711	0.821	0.603	0.316963543372302	2	Arpc5
2.79250119380317e-05	0.294608314356037	0.657	0.6	0.33325709246847	2	Sh3glb1
2.82422204723652e-05	0.308990013098755	0.642	0.376	0.337042659117206	2	Ywhah
2.83855874639859e-05	0.250564881721461	0.358	0.129	0.338753600795208	2	Arl8a
3.00080330444675e-05	0.308432264042009	0.239	0.055	0.358115866352675	2	Clec12a
3.09828075103835e-05	0.351395772909851	0.343	0.111	0.369748824828916	2	Cfp
3.6305008353426e-05	0.456866453658046	0.493	0.333	0.433263969689786	2	Esd
4.24014742093626e-05	0.284084055018407	0.881	0.748	0.506019193214533	2	Uqcrq
4.9054835415527e-05	0.272263093249976	0.358	0.141	0.585420405848899	2	Atp6ap2
5.12146281308094e-05	0.268212742297731	0.358	0.125	0.611195372113079	2	Pgd
5.23851931034378e-05	0.296138034934059	0.552	0.293	0.625164894496427	2	Sdhb
5.77040371478374e-05	0.291198640947042	0.254	0.065	0.688639979322291	2	Adam8
6.13581955946522e-05	0.305134237072084	0.701	0.453	0.732248706226579	2	Bax
7.01769194505512e-05	0.352545375822959	0.836	0.63	0.837491356722878	2	Calr
7.27916883205089e-05	0.281260949419202	0.985	0.875	0.868696008416954	2	Atox1
8.24773323082693e-05	0.379049309706994	0.955	0.898	0.984284483766886	2	Vim
8.41106480079646e-05	0.408924694923021	0.194	0.046	1	2	Cd72
8.98767208027321e-05	0.316294212308258	0.672	0.404	1	2	H2-Ab1
9.55950593332674e-05	0.252693296856287	0.328	0.111	1	2	Csf2rb
0.00011707949897335	0.352434751176526	0.328	0.115	1	2	Clec7a
0.000118225214863497	0.347994947766852	0.821	0.642	1	2	Pkm
0.000131219562863876	0.312696662828467	0.537	0.307	1	2	Lamtor5
0.000137671242058409	0.302978413359546	0.507	0.263	1	2	Rtn4
0.000164619013162727	0.26425541701568	0.373	0.15	1	2	Scpep1
0.000186488122695746	0.296600029697277	0.985	0.938	1	2	H2-D1
0.00020662476964693	0.253211607176285	0.985	0.889	1	2	Ybx1
0.000234786744565195	0.265823851282347	0.403	0.187	1	2	Tmem179b
0.00025597081749976	0.336979991327138	0.179	0.051	1	2	Clec4n
0.000264688894078549	0.330219013520669	0.388	0.212	1	2	Emp1
0.000289891835694566	0.381430260910162	0.672	0.492	1	2	Ninj1
0.000290498527978323	0.293878590974655	0.701	0.494	1	2	Nme1
0.00030880794153551	0.315682631007029	0.478	0.245	1	2	Tpi1
0.000486940784713608	0.292009123228339	0.761	0.58	1	2	Atpif1
0.000506315466458878	0.252667598173343	0.672	0.506	1	2	Erp29
0.000519994436494436	0.276809903494943	0.701	0.497	1	2	Bola2
0.000599141529291197	0.254838849120681	0.418	0.229	1	2	Rab1a
0.000642057841580607	0.303710472254632	0.627	0.393	1	2	H2-Aa
0.00074101985298867	0.272990675427948	0.687	0.492	1	2	Litaf
0.000789824391942638	0.265823851282347	0.373	0.164	1	2	Pea15a
0.000806879532249236	0.317955220081934	0.328	0.139	1	2	Trf
0.00083849216464509	0.301288167596722	0.403	0.206	1	2	Blvrb
0.00104020546766541	0.256607196177424	0.343	0.15	1	2	Pon2
0.00107530647198415	0.283460260522043	0.851	0.764	1	2	Clic1
0.00130654090867159	0.276475399394149	0.448	0.238	1	2	Atp6v1e1
0.00170521416098247	0.324565406423599	0.776	0.64	1	2	Ptms
0.00214976591615196	0.273701629536724	0.418	0.226	1	2	Nmt1
0.00259961162041087	0.311916022663921	0.701	0.492	1	2	Gm2a
0.00389224252079571	0.702563665640325	0.194	0.065	1	2	Ccl7
0.00472011670355036	0.45669762884715	0.522	0.411	1	2	Cd14
0.0057491630736119	0.25032774069258	0.463	0.307	1	2	Spcs2
8.42528053783664e-05	0.370373788296894	0.46	0.242	1	3	Atp1a1
8.56818913582805e-05	0.255346691808844	0.3	0.076	1	3	Cdkn1b
9.05994051741196e-05	0.268605925390967	0.36	0.111	1	3	Filip1l
9.55171583788385e-05	0.302365210238506	0.8	0.7	1	3	Rbm3
9.64397255115153e-05	0.273075920062419	0.32	0.089	1	3	Ddx46
0.000105492374941389	0.330182047687616	0.36	0.131	1	3	Diaph1
