p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.49495285393793	0.696	0.245	0	0	Pi16
0	1.37845170657705	0.511	0.153	0	0	Igfbp5
0	1.34797013735143	0.994	0.795	0	0	Gsn
0	1.03399175302247	0.628	0.223	0	0	Clec3b
0	0.992934306629988	0.927	0.509	0	0	Serping1
0	0.985380015315542	0.712	0.213	0	0	Cygb
0	0.965065164204836	0.43	0.144	0	0	Gpx3
0	0.941524587312731	0.886	0.482	0	0	Igfbp4
0	0.869558472766077	0.718	0.232	0	0	Dpt
0	0.809245178031337	0.509	0.169	0	0	Igfbp6
0	0.801573680559862	0.824	0.3	0	0	Serpinf1
0	0.762892841110406	0.611	0.378	0	0	Egr1
0	0.67890821039693	0.984	0.634	0	0	Dcn
0	0.667722666075022	0.76	0.427	0	0	Ly6a
0	0.62515431389375	0.615	0.259	0	0	Fbln1
0	0.619249006896777	0.537	0.2	0	0	Cd34
0	0.608520955946362	0.459	0.119	0	0	Dpep1
0	0.600736064308476	0.579	0.294	0	0	Col14a1
0	0.537261660505628	0.423	0.081	0	0	Abca8a
0	0.531789820648791	0.823	0.464	0	0	Pcolce
0	0.509921832661866	0.436	0.121	0	0	Entpd2
0	0.483567852435922	0.329	0.063	0	0	Scara5
0	0.454072581831956	0.244	0.026	0	0	Tmem100
0	0.408622046404308	0.333	0.094	0	0	Nid1
0	0.392482567760953	0.389	0.121	0	0	Pdgfra
0	0.372575832358713	0.346	0.082	0	0	Tshz2
0	0.363866531376542	0.35	0.092	0	0	Bicc1
4.78934022304675e-314	0.791407801283663	0.576	0.284	8.69552610896368e-310	0	C3
3.79564666967199e-313	0.474074549842547	0.69	0.421	6.89137609345646e-309	0	Rnase4
2.23128241176729e-310	0.336164152439254	0.213	0.033	4.05111634680469e-306	0	Gfpt2
3.32571310010059e-309	0.456994849917725	0.214	0.03	6.03816470454263e-305	0	Ccl11
6.53210101887761e-305	0.374322113743105	0.982	0.781	1.18596826098742e-300	0	Col1a2
7.03022317513217e-305	0.781171007142071	0.516	0.268	1.276407319677e-300	0	Gm2564
8.34898338369783e-299	0.397214759034656	0.387	0.132	1.51584142314418e-294	0	Slc43a3
1.15028923917653e-293	0.302565515502344	0.401	0.132	2.08846514264891e-289	0	Ramp2
8.58713020457462e-292	0.458917563870252	0.297	0.108	1.55907935994257e-287	0	Adamts5
6.56949098825842e-286	0.574918934193672	0.787	0.549	1.1927567838282e-281	0	Cfh
4.40777759318694e-281	0.644060612533455	0.215	0.035	8.00276099819022e-277	0	Apod
5.48734909984184e-280	0.501066483603616	0.339	0.137	9.96283102567284e-276	0	Ackr3
2.71478991021171e-256	0.292666864130899	0.26	0.062	4.92897256098039e-252	0	Tspan11
5.38613098049931e-252	0.429048087832645	0.283	0.106	9.77905940819455e-248	0	Cd248
1.66747545030835e-248	0.43890357754191	0.147	0.015	3.02746842757985e-244	0	Il6
1.25408194633642e-247	0.484278958831234	0.617	0.396	2.2769111817684e-243	0	Plpp3
6.21709800263888e-246	0.501426390242365	0.808	0.548	1.12877631335911e-241	0	Mfap5
8.7708643475105e-238	0.252117671484241	0.212	0.042	1.59243813093401e-233	0	Il33
1.46283843289142e-224	0.567369513328486	0.443	0.204	2.65592945875767e-220	0	F3
3.13042519406998e-222	0.619393697077697	0.335	0.117	5.68359998235345e-218	0	Inmt
2.40413069143341e-220	0.397357545446836	0.735	0.535	4.36493968336649e-216	0	Cd302
1.42096624017413e-215	0.493052801792258	0.527	0.34	2.57990630566015e-211	0	Klf4
6.31201896462685e-215	0.366413674361038	0.982	0.913	1.14601016321765e-210	0	Tmsb10
4.55401001409337e-214	0.405043418250784	0.163	0.032	8.26826058158792e-210	0	Smpd3
1.12756020255133e-208	0.346723506573798	0.979	0.848	2.0471983037522e-204	0	Ifitm3
8.88890195526493e-204	0.33986740083544	0.414	0.181	1.6138690389979e-199	0	C1s1
2.40731306293651e-199	0.373500893321558	0.972	0.865	4.37071759706754e-195	0	Timp2
3.73126992128581e-187	0.317604368679455	0.126	0.018	6.77449366908651e-183	0	Has1
4.35023160079207e-181	0.355143032964035	0.927	0.741	7.89828049439808e-177	0	Col3a1
4.62050823650549e-179	0.540730564521018	0.394	0.19	8.38899475419937e-175	0	Ly6c1
2.68102448632229e-177	0.414417066643709	0.423	0.2	4.86766805736674e-173	0	Smoc2
9.91116014110845e-176	0.550478169771203	0.27	0.096	1.79947023521965e-171	0	Cxcl1
3.56856582653914e-175	0.403291364543927	0.506	0.35	6.47908811466447e-171	0	Ebf1
3.99072881679866e-163	0.365936972134171	0.337	0.186	7.24556723977964e-159	0	Marcks
1.25186246246041e-160	0.25709408082819	0.246	0.081	2.27288148684311e-156	0	Ndufa4l2
4.75566754296555e-158	0.257428818577841	0.252	0.087	8.63438999100825e-154	0	G0s2
2.17878020481148e-156	0.32945683290003	0.268	0.16	3.95579333985573e-152	0	Ugdh
3.61538931361467e-151	0.296636427275115	0.292	0.117	6.56410083779879e-147	0	Thy1
7.21455563147995e-151	0.400547366525724	0.303	0.178	1.3098747204515e-146	0	Fosb
8.9632717905451e-151	0.452019344578292	0.387	0.192	1.62737162629137e-146	0	Gdf10
2.6412050385259e-149	0.289443921588124	0.531	0.304	4.79537186794762e-145	0	Mmp2
1.26190338538927e-148	0.501422040729718	0.835	0.73	2.29111178651276e-144	0	Junb
1.49767417433975e-144	0.365764589743332	0.539	0.355	2.71917723093126e-140	0	Pcolce2
3.8892830463328e-144	0.384656210274451	0.443	0.256	7.06138229892183e-140	0	Phlda1
5.53411691395363e-138	0.517904520560677	0.362	0.19	1.00477426689742e-133	0	Sfrp4
3.75199718474079e-136	0.316411551331947	0.235	0.084	6.81212608861538e-132	0	Gpc3
7.30455678674317e-136	0.287270686845282	0.547	0.382	1.32621533020109e-131	0	Sptbn1
3.0689462608387e-134	0.312455474802991	0.315	0.16	5.57197883117874e-130	0	Tnxb
3.48674476653508e-133	0.279424602553051	0.259	0.101	6.33053379812109e-129	0	Fbln7
2.42047417147948e-130	0.384919554510317	0.658	0.452	4.39461290573815e-126	0	Cxcl12
1.25105031950659e-129	0.290145565454636	0.515	0.345	2.27140696009616e-125	0	Pdlim2
1.00024399225142e-123	0.255276425249322	0.264	0.132	1.81604299233169e-119	0	Thbd
1.19284939240258e-123	0.259008993528442	0.2	0.067	2.16573735684612e-119	0	Hsd11b1
1.8815502352766e-123	0.317361701863278	0.749	0.611	3.41614260716819e-119	0	Lrp1
4.25147342586105e-122	0.276298468361856	0.534	0.345	7.71897515199333e-118	0	Adamts2
1.03844514527438e-121	0.262614492369577	0.344	0.203	1.88540100576017e-117	0	Mxra7
2.72333789078768e-117	0.253644087308304	0.425	0.268	4.94449227451411e-113	0	Ddah2
2.97188780588655e-117	0.340238360597649	0.562	0.377	5.39575950036762e-113	0	Cebpd
8.455980837484e-114	0.291608202787438	0.778	0.616	1.5352678808536e-109	0	Tuba1a
1.48199719208754e-113	0.384038991313575	0.431	0.243	2.69071410195413e-109	0	Ifi27l2a
6.14914918308519e-109	0.283205911361589	0.323	0.191	1.11643952568095e-104	0	Nr2f2
3.78281919731264e-102	0.334615707688918	0.441	0.296	6.86808653464082e-98	0	Crispld2
2.15412546260877e-96	0.262167152138379	0.779	0.624	3.91103018991248e-92	0	Il11ra1
1.82456781185966e-92	0.256873836529246	0.663	0.502	3.31268531921239e-88	0	Loxl1
1.71855806533796e-91	0.295315322822806	0.589	0.431	3.1202140234276e-87	0	Htra3
2.55445380140824e-91	0.255566381957423	0.307	0.163	4.63786632183679e-87	0	Fbln2
5.96368776168763e-89	0.28468931456811	0.397	0.31	1.08276715001201e-84	0	Fbn1
2.35592620008247e-79	0.269163337095001	0.521	0.418	4.27741960886972e-75	0	Ier2
1.25078302714673e-77	0.339344915839257	0.441	0.355	2.2709216640876e-73	0	Nr4a1
1.33019700062356e-77	0.286185185872334	0.535	0.429	2.41510567433213e-73	0	Jun
4.49242406902523e-51	0.312920606991455	0.726	0.663	8.15644513972221e-47	0	Fos
7.91819804117941e-36	0.33912789863711	0.423	0.351	1.43762803635653e-31	0	Rbp4
5.25433355845109e-21	0.282487064064024	0.984	0.977	9.53976800872381e-17	0	Cst3
0	1.39864044701837	0.688	0.341	0	1	Timp1
0	1.38673134163153	0.601	0.325	0	1	Vcam1
0	1.28558968218083	0.834	0.605	0	1	Fn1
0	1.186130071828	0.207	0.026	0	1	Slurp1
0	1.10255822740611	0.84	0.57	0	1	Lum
0	1.04874980453611	0.96	0.887	0	1	Mgp
0	1.04661998839949	0.941	0.77	0	1	Nupr1
0	0.92129937895355	0.821	0.62	0	1	S100a4
0	0.905124210629372	0.892	0.647	0	1	Dcn
0	0.833304622912215	0.757	0.43	0	1	Ly6a
0	0.792816204145097	0.907	0.739	0	1	S100a10
0	0.681201516813824	0.847	0.631	0	1	Anxa1
0	0.661739693760812	0.833	0.595	0	1	Ecm1
0	0.653614238949444	0.408	0.083	0	1	Anxa8
0	0.62927015239182	0.924	0.777	0	1	Anxa2
0	0.624097757137098	0.797	0.503	0	1	Nbl1
0	0.543220958771346	0.201	0.019	0	1	Crabp2
0	0.345638744671479	0.292	0.05	0	1	Gm17455
0	0.337811766133089	0.258	0.039	0	1	Ttc9
3.02237396344624e-306	0.687395319029618	0.452	0.173	5.487422168033e-302	1	Tnfrsf11b
2.90615175447111e-304	1.44715965431667	0.562	0.395	5.27640912541774e-300	1	Spp1
3.78372138315269e-297	0.938329996554803	0.77	0.596	6.86972454325202e-293	1	Clu
7.02852892201388e-291	0.460402166111259	0.24	0.041	1.27609971108084e-286	1	Cst6
3.92397957628647e-287	0.476990428660247	0.57	0.289	7.12437731870572e-283	1	Phlda3
1.41704914344115e-281	0.490224481283603	0.948	0.833	2.57279442483175e-277	1	Emp3
2.07181834610487e-278	0.51212408386574	0.495	0.205	3.761593389188e-274	1	Ltbp2
9.83253244606875e-278	0.555593789550575	0.972	0.846	1.78519459090824e-273	1	Cd9
6.68963597961512e-276	0.551353759202017	0.476	0.183	1.21457030845892e-271	1	Ly6c1
9.22931690753413e-272	0.605515013626358	0.564	0.319	1.6756747777319e-267	1	Col6a3
4.29949747740841e-266	0.509709332542061	0.998	0.947	7.80616761998271e-262	1	S100a6
1.34558110964261e-261	0.442912239361361	0.758	0.557	2.44303706266713e-257	1	Uqcc2
5.95446537127582e-251	0.684780027109993	0.979	0.955	1.08109273280884e-246	1	Crip1
